City,PM2.5,PM10,NO2,O3,PM25,Temperature,Humidity,Wind,Rain
GANDHINAGAR,21.5,34.3,16.7,70.0,,29.9,75.0,9.2,0.0
GANDHINAGAR,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
GANDHINAGAR,21.5,34.3,16.7,70.0,,29.9,75.0,9.2,0.0
Ahmedabad,11.1,11.3,2.7,132.0,,31.4,70.0,4.8,0.1
Ahmedabad,11.1,11.3,2.7,132.0,,31.4,70.0,4.8,0.1
Ahmedabad,11.1,11.3,2.7,132.0,,31.4,70.0,4.8,0.1
Ahmedabad,11.1,11.3,2.7,132.0,,31.4,70.0,4.8,0.1
Ahmedabad,11.1,11.3,2.7,132.0,,31.4,70.0,4.8,0.1
Ahmedabad,11.1,11.3,2.7,132.0,,31.4,70.0,4.8,0.1
Ahmedabad,11.1,11.3,2.7,132.0,,31.4,70.0,4.8,0.1
Ahmedabad,11.1,11.3,2.7,132.0,,31.4,70.0,4.8,0.1
Ahmedabad,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
Ahmedabad,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
Ahmedabad,11.1,11.3,2.7,132.0,,31.4,70.0,4.8,0.1
Ahmedabad,11.1,11.3,2.7,132.0,,31.4,70.0,4.8,0.1
Ahmedabad,11.1,11.3,2.7,132.0,,31.4,70.0,4.8,0.1
Ahmedabad,11.1,11.3,2.7,132.0,,31.4,70.0,4.8,0.1
Ahmedabad,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
Ahmedabad,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
RAJKOT,19.9,44.8,1.1,106.0,,31.2,55.0,15.3,0.0
RAJKOT,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
RAJKOT,19.9,44.8,1.1,106.0,,31.2,55.0,15.3,0.0
RAJKOT,19.9,44.8,1.1,106.0,,31.2,55.0,15.3,0.0
RAJKOT,19.9,44.8,1.1,106.0,,31.2,55.0,15.3,0.0
RAJKOT,19.9,44.8,1.1,106.0,,31.2,55.0,15.3,0.0
RAJKOT,19.9,44.8,1.1,106.0,,31.2,55.0,15.3,0.0
RAJKOT,19.9,44.8,1.1,106.0,,31.2,55.0,15.3,0.0
RAJKOT,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
RAJKOT,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
RAJKOT,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
RAJKOT,18.5,32.1,14.2,52.8,,29.4,61.0,11.3,0.0
Ahmedabad,13.1,13.4,2.8,133.0,,31.4,69.0,5.1,0.1
Ahmedabad,13.1,13.4,2.8,133.0,,31.4,69.0,5.1,0.1
Ahmedabad,13.1,13.4,2.8,133.0,,31.4,69.0,5.1,0.1
Ahmedabad,13.1,13.4,2.8,133.0,,31.4,69.0,5.1,0.1
Ahmedabad,13.1,13.4,2.8,133.0,,31.4,69.0,5.1,0.1
Ahmedabad,13.1,13.4,2.8,133.0,,31.4,69.0,5.1,0.1
Ahmedabad,13.1,13.4,2.8,133.0,,31.4,69.0,5.1,0.1
Ahmedabad,13.1,13.4,2.8,133.0,,31.4,69.0,5.1,0.1
Ahmedabad,13.1,13.4,2.8,133.0,,31.4,69.0,5.1,0.1
Ahmedabad,13.1,13.4,2.8,133.0,,31.4,69.0,5.1,0.1
Ahmedabad,13.1,13.4,2.8,133.0,,31.5,69.0,5.3,0.1
Ahmedabad,13.1,13.4,2.8,133.0,,31.5,69.0,5.3,0.1
